steps
1.000000
1.200000
1.166667
1.285714
1.111111
1.000000
1.000000
1.000000
1.100000
1.090909
1.250000
1.133333
1.117647
1.052632
1.000000
1.050000
1.047619
1.181818
1.115385
1.172414
1.088235
1.054054
1.051282
1.024390
1.119048
1.085106
1.176471
1.100000
1.106061
1.068493
1.038462
1.086420
1.056818
1.150538
1.093458
1.136752
1.082707
1.069444
1.077922
1.048193
1.120690
1.076923
1.142857
1.087500
1.099617
1.080139
1.058065
1.100610
1.063712
1.132812
1.082759
1.118896
1.083491
1.077058
1.091057
1.061103
1.117978
1.074121
1.125146
1.083160
1.095969
1.087566
1.068438
1.105501
1.068166
1.121889
1.079067
1.109120
1.085551
1.080998
1.097205
1.068291
1.114375
1.074109
1.114896
1.082600
1.093757
1.091843
1.074104
1.106470
